matricula;curso;modalidade_entrada;ano_ingresso;data_colacao_grau;situacao_matricula;sexo;prazo_conclusao;id_curso;data_registro_diploma
202*****;CIÊNCIAS BIOLÓGICAS;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2022;;CANCELADO;M;20282;2259610;
201*****;DESIGN DE MODA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2019;;CANCELADO;M;20242;553291;
201*****;AGRONOMIA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2019;;ATIVO;M;20282;527777;
202*****;EDUCAÇÃO FÍSICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2023;;ATIVO;M;20302;527783;
111*****;ENGENHARIA MECATRÔNICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2011;24-04-2021;CONCLUÍDO;M;20211;518226;25-06-2021
105*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2007;25-02-2011;CONCLUÍDO;M;20142;528378;
133*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2018;;CANCELADO;F;20252;528378;
113*****;LATICÍNIOS;AMPLA CONCORRENCIA;2015;23-02-2018;CONCLUÍDO;F;20202;898737;
201*****;GESTÃO AMBIENTAL;AMPLA CONCORRENCIA;2011;;CANCELADO;M;20151;527779;
202*****;GESTÃO DE TURISMO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2020;;TRANCADO;M;20262;527780;
201*****;SISTEMAS PARA INTERNET;AMPLA CONCORRENCIA;2018;;CANCELADO;M;20222;527820;
201*****;AGRONOMIA;AMPLA CONCORRENCIA;2011;;CONCLUÍDO;M;20202;527777;
202*****;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;AMPLA CONCORRENCIA;2023;;ATIVO;M;20272;464219;
232*****;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;AMPLA CONCORRENCIA;2005;;CANCELADO;M;;528384;
202*****;GESTÃO AMBIENTAL;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR;2023;;ATIVO;M;20262;2301791;
201*****;CIÊNCIAS BIOLÓGICAS;AMPLA CONCORRENCIA;2014;;CONCLUÍDO;M;20192;527781;
201*****;MATEMÁTICA;AMPLA CONCORRENCIA;2018;;ATIVO;M;20252;524921;
201*****;CIÊNCIAS BIOLÓGICAS;AMPLA CONCORRENCIA;2016;;ATIVO;M;20232;527781;
201*****;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2019;;CANCELADO;M;20262;528384;
403*****;AGROECOLOGIA;AMPLA CONCORRENCIA;2017;;CANCELADO;M;20262;528371;
102*****;ENGENHARIA MECATRÔNICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2010;;CANCELADO;M;;518226;
201*****;GESTÃO AMBIENTAL;AMPLA CONCORRENCIA;2016;28-02-2020;CONCLUÍDO;M;20201;527779;03-03-2021
120*****;ENGENHARIA MECATRÔNICA;AMPLA CONCORRENCIA;2012;;CANCELADO;M;20212;518226;
201*****;GESTÃO AMBIENTAL;AMPLA CONCORRENCIA;2014;;CANCELADO;M;20181;527779;
201*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2018;;ATIVO;M;20252;528322;
128*****;MATEMÁTICA;AMPLA CONCORRENCIA;2014;;CANCELADO;M;;459794;
151*****;FÍSICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2015;23-02-2023;CONCLUÍDO;M;20241;518227;07-03-2023
202*****;MATEMÁTICA;AMPLA CONCORRENCIA;2020;;FORMANDO;F;20262;524921;
201*****;NUTRIÇÃO;AMPLA CONCORRENCIA;2014;02-08-2019;CONCLUÍDO;F;20201;527818;
108*****;MATEMÁTICA;AMPLA CONCORRENCIA;2010;;CANCELADO;F;;459794;
201*****;LETRAS - LÍNGUA PORTUGUESA E LÍNGUA ESPANHOLA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2019;;CANCELADO;F;20262;548195;
202*****;LETRAS - LÍNGUA PORTUGUESA E LÍNGUA ESPANHOLA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2020;;CANCELADO;F;20272;548195;
201*****;GESTÃO DE RECURSOS HUMANOS;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2019;;NÃO CADASTRADO;F;20222;551645;
235*****;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;AMPLA CONCORRENCIA;2003;;CANCELADO;F;;528384;
170*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2017;;CANCELADO;M;20251;553290;
201*****;CIÊNCIAS BIOLÓGICAS;AMPLA CONCORRENCIA;2016;;CANCELADO;F;20212;527781;
202*****;NUTRIÇÃO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2023;;ATIVO;M;20302;527818;
120*****;DESIGN DE MODA;AMPLA CONCORRENCIA;2012;;CANCELADO;F;;553291;
202*****;ENGENHARIA FERROVIÁRIA E METROVIÁRIA;AMPLA CONCORRENCIA;2022;;ATIVO;M;20311;921263;
202*****;CIÊNCIAS BIOLÓGICAS;AMPLA CONCORRENCIA;2023;;ATIVO;M;20292;2259610;
128*****;MATEMÁTICA;AMPLA CONCORRENCIA;2013;;CONCLUÍDO;M;20202;459794;
132*****;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;AMPLA CONCORRENCIA;2017;;CANCELADO;F;20242;528384;
202*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2021;;ATIVO;F;20282;528322;
201*****;GESTÃO AMBIENTAL;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2018;;CANCELADO;M;20203;527779;
201*****;AGRONOMIA;AMPLA CONCORRENCIA;2019;;CANCELADO;M;20291;527777;
201*****;QUÍMICA;AMPLA CONCORRENCIA;2013;;CANCELADO;M;20221;527785;
128*****;MATEMÁTICA;AMPLA CONCORRENCIA;2017;;CANCELADO;F;20242;459794;
104*****;CIÊNCIA DA COMPUTAÇÃO;AMPLA CONCORRENCIA;2007;;CANCELADO;M;;528391;
